행정구역,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,공원_개수,총_인구수,입시학원_개수,어린이집_개수,초미세먼지_최대치,일산화탄소_최대치,마트거리(km),병원거리(km)
개포동,성원대치2단지아파트,33.18,202101,21,111000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202101,26,133000,15,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202101,30,108500,8,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202101,31,109000,6,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202102,2,127000,1,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202102,3,145000,4,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202102,5,135000,14,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202102,23,131000,14,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202102,23,108000,9,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202102,23,114000,8,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202102,24,128000,6,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202102,27,109000,8,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202103,1,105000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202103,6,109000,3,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202103,29,136000,15,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202104,9,127000,11,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202105,5,114000,8,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202105,5,108700,15,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202105,22,152000,10,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202105,22,127500,1,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202106,9,110000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202106,30,135000,14,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202106,30,135000,14,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202107,5,137000,15,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202107,7,159500,3,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202107,7,110000,15,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202107,10,139000,13,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202107,10,140000,10,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202107,12,168000,3,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
